LECROYWP740Zi,47836,Waveform,
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1,
#1,3/1/2007 6:05,0,
Time,Ch1,Ch2,
Second,Value,Value,
3.76E-09,-0.652965,-0.652965,
3.78E-09,-0.658014,-0.658014,
3.81E-09,-0.663064,-0.663064,
3.83E-09,-0.666393,-0.666393,
3.86E-09,-0.667059,-0.667059,
3.88E-09,-0.665339,-0.665339,
3.91E-09,-0.662204,-0.662204,
3.93E-09,-0.659152,-0.659152,
3.96E-09,-0.657515,-0.657515,
3.98E-09,-0.657987,-0.657987,
4.01E-09,-0.6604,-0.6604,
4.03E-09,-0.663785,-0.663785,
4.06E-09,-0.666698,-0.666698,
4.08E-09,-0.667725,-0.667725,
4.11E-09,-0.665949,-0.665949,
4.13E-09,-0.661482,-0.661482,
4.16E-09,-0.655573,-0.655573,
4.18E-09,-0.650302,-0.650302,
4.21E-09,-0.64786,-0.64786,
4.23E-09,-0.649691,-0.649691,
4.26E-09,-0.65574,-0.65574,
4.28E-09,-0.664479,-0.664479,
4.31E-09,-0.673356,-0.673356,
4.33E-09,-0.679765,-0.679765,
4.36E-09,-0.682096,-0.682096,
4.38E-09,-0.680403,-0.680403,
4.41E-09,-0.676242,-0.676242,
4.43E-09,-0.672053,-0.672053,
4.46E-09,-0.670027,-0.670027,
4.48E-09,-0.671387,-0.671387,
4.51E-09,-0.675715,-0.675715,
4.53E-09,-0.681347,-0.681347,
4.56E-09,-0.686146,-0.686146,
4.58E-09,-0.688449,-0.688449,
4.61E-09,-0.687589,-0.687589,
4.63E-09,-0.684287,-0.684287,
4.66E-09,-0.680181,-0.680181,
4.68E-09,-0.677074,-0.677074,
4.71E-09,-0.676297,-0.676297,
4.73E-09,-0.678295,-0.678295,
4.76E-09,-0.682512,-0.682512,
4.78E-09,-0.687589,-0.687589,
4.81E-09,-0.692083,-0.692083,
4.83E-09,-0.694747,-0.694747,
4.86E-09,-0.695052,-0.695052,
4.88E-09,-0.693276,-0.693276,
4.91E-09,-0.690391,-0.690391,
4.93E-09,-0.687672,-0.687672,
4.96E-09,-0.686285,-0.686285,
4.98E-09,-0.686867,-0.686867,
5.01E-09,-0.68942,-0.68942,
5.03E-09,-0.693304,-0.693304,
5.06E-09,-0.697576,-0.697576,
5.08E-09,-0.701211,-0.701211,
5.11E-09,-0.703236,-0.703236,
5.13E-09,-0.70307,-0.70307,
5.16E-09,-0.700684,-0.700684,
5.18E-09,-0.696827,-0.696827,
5.21E-09,-0.692832,-0.692832,
5.23E-09,-0.690502,-0.690502,
5.26E-09,-0.691251,-0.691251,
5.28E-09,-0.695523,-0.695523,
5.31E-09,-0.702487,-0.702487,
5.33E-09,-0.710116,-0.710116,
5.36E-09,-0.715998,-0.715998,
5.38E-09,-0.71819,-0.71819,
5.41E-09,-0.715915,-0.715915,
5.43E-09,-0.710144,-0.710144,
5.46E-09,-0.703153,-0.703153,
5.48E-09,-0.697632,-0.697632,
5.51E-09,-0.695634,-0.695634,
5.53E-09,-0.697992,-0.697992,
5.56E-09,-0.703708,-0.703708,
5.58E-09,-0.710671,-0.710671,
5.61E-09,-0.716303,-0.716303,
5.63E-09,-0.7188,-0.7188,
5.66E-09,-0.717829,-0.717829,
5.68E-09,-0.714361,-0.714361,
5.71E-09,-0.710227,-0.710227,
5.73E-09,-0.707231,-0.707231,
5.76E-09,-0.706288,-0.706288,
5.78E-09,-0.707203,-0.707203,
